algorithm,heuristic,cost_of_path,nodes_expanded,search_depth,running_time,max_ram_usage
BFS,-,1,2,1,0.00021819,258048
DFS,-,1,181438,1,7.54887315,26570752
A*,displacement from goal state,1,1,1,0.00048646,-4096
A*,image difference,1,1,1,0.06480841,26947584
